37;SM: TEST;1001;NULL;2;BR300;CLOSE
147701;SM: TEST;1001;NULL;2;BR300;CAN
147697;SM: TEST;1001;NULL;2;BR300;CLOSE
147758;Investigate Poor Network Performance;NULL;NULL;1;NULL;CLOSE
147700;SM: TEST;1001;NULL;2;BR300;CLOSE
147689;SM: TEST;1001;NULL;2;BR300;CLOSE
76;12 Month Service on Shipping Dept #1 Conveyor;12600;NULL;5;SHIPPING;CLOSE
233;Inspect on/off and limit switches.;12600;NULL;NULL;SHIPPING;CLOSE
85;Replace worn bearings, index plate and bolts.;12600;NULL;NULL;SHIPPING;CLOSE
232;Clean motor.;12600;NULL;NULL;SHIPPING;CLOSE
225;Inspect gear reducer unit. Check gear box oil.;12600;NULL;NULL;SHIPPING;CLOSE
226;Inspect, clean, and lubricate drive chain.;12600;NULL;NULL;SHIPPING;CLOSE
230;Check conveyor belt & pulleys for proper tension.;12600;NULL;NULL;SHIPPING;CLOSE
231;Inspect and lubricate roller bearings and wheels.;12600;NULL;NULL;SHIPPING;CLOSE
227;Operate conveyor to ensure that unit runs quietly.;12600;NULL;NULL;SHIPPING;CLOSE
228;Change oil in gear reducer. Examine drained oil. ;12600;NULL;NULL;SHIPPING;CLOSE
229;Record amperage and voltage with motor operating.;12600;NULL;NULL;SHIPPING;CLOSE
12;Rebuild Feedwater Pump;11450;PUMPS;3;BR450;CAN
87;Check pump operation.;11450;NULL;NULL;BR450;CAN
477;Replace impeller, shaft, seal and housing.;11450;NULL;NULL;BR450;CAN
86;Check for leaks.;11450;NULL;NULL;BR450;CAN
88;Inspect main disconnect and all electrical.;11450;NULL;NULL;BR450;CAN
90;Clean contactors and contactor compartment.;11450;NULL;NULL;BR450;CAN
89;Inspect floats.;11450;NULL;NULL;BR450;CAN
91;Record amperage and voltage with motor operating.;11450;NULL;NULL;BR450;CAN
71;Check for Plumbing Problem;NULL;NULL;5;BOILER;CLOSE
92;REMOVE WALL PLATE IN PLASTICS SHOP;NULL;NULL;NULL;BOILER;CLOSE
93;INSPECT PLUMBING FOR LEAK;NULL;NULL;NULL;BOILER;CLOSE
94;REPAIR AS NECESSARY;NULL;NULL;NULL;BOILER;CLOSE
95;REPLACE WALL PLATE AND CLEANUP;NULL;NULL;NULL;BOILER;CLOSE
155;Generator Overhaul;11230;NULL;1;BR230;CLOSE
199;Review generator test logs.;11230;NULL;NULL;BR230;CLOSE
105;Check V-belts, deflection 9/16 to 13/16 in..;11230;NULL;NULL;BR230;CLOSE
104;Clean entire unit.;11230;NULL;NULL;BR230;CLOSE
103;Remove and clean air induction filters.;11230;NULL;NULL;BR230;CLOSE
102;Remove generator panels from rear of generator.;11230;NULL;NULL;BR230;CLOSE
101;Check rear bearing for lube plugs.;11230;NULL;NULL;BR230;CLOSE
100;Grease fan drive bearing.;11230;NULL;NULL;BR230;CLOSE
96;Check all hose connections for tightness.;11230;NULL;NULL;BR230;CLOSE
272;Check coolant level.;11230;NULL;NULL;BR230;CLOSE
146;Take battery hydrometer readings.;11230;NULL;NULL;BR230;CLOSE
97;Check battery charge rate of each charger, record.;11230;NULL;NULL;BR230;CLOSE
99;Check battery voltage and water level.;11230;NULL;NULL;BR230;CLOSE
98;Check battery posts, cables for tightness.;11230;NULL;NULL;BR230;CLOSE
107;Check heat exchangers.;11230;NULL;NULL;BR230;CLOSE
106;Place control switch on each control board to off.;11230;NULL;NULL;BR230;CLOSE
72;ci;12300;NULL;7;SHIPPING;CLOSE
113;Check tires, lights, horn, mirrors.;12300;NULL;NULL;SHIPPING;CLOSE
115;Check windshield wipers and steering.;12300;NULL;NULL;SHIPPING;CLOSE
114;Check key,seat, forward/reverse switches.;12300;NULL;NULL;SHIPPING;CLOSE
111;Check brakes, brake lights, and emergency brake.;12300;NULL;NULL;SHIPPING;CLOSE
108;Check battery. Add water as needed.;12300;NULL;NULL;SHIPPING;CLOSE
273;Check terminals and cables, battery charger.;12300;NULL;NULL;SHIPPING;CLOSE
112;Lubricate chain and check sprockets.;12300;NULL;NULL;SHIPPING;CLOSE
110;Repack wheel bearings. Grease steering chassis.;12300;NULL;NULL;SHIPPING;CLOSE
109;Test-operate vehicle and check for safety.;12300;NULL;NULL;SHIPPING;CLOSE
73;Feedwater Pump Service;11450;PUMPS;7;BR450;COMP
118;Check pump operation.;11450;NULL;NULL;BR450;COMP
117;Check pump float switch.;11450;NULL;NULL;BR450;COMP
116;Check for leaks.;11450;NULL;NULL;BR450;COMP
119;Inspect main disconnect and all electrical.;11450;NULL;NULL;BR450;COMP
121;Clean contactors and contactor compartment.;11450;NULL;NULL;BR450;CLOSE
120;Inspect floats and replace main gasket on housing.;11450;NULL;NULL;BR450;CLOSE
122;Record amperage and voltage with motor operating.;11450;NULL;NULL;BR450;CLOSE
74;Packaging Mach. Elevator & Drainpan Inspection;13141;PKG;8;BPM3100;COMP
124;INSPECT SWITCHES...;13141;NULL;NULL;BPM3100;COMP
312;INSPECT DRIVE MOTOR AND MOUNTS;13141;NULL;NULL;BPM3100;COMP
123;CLEAN MOTOR;13141;NULL;NULL;BPM3100;CLOSE
130;INSPECT GEAR REDUCER UNIT. CHECK GEAR BOX OIL.;13141;NULL;NULL;BPM3100;COMP
125;INSPECT, CLEAN, AND LUBRICATE DRIVE CHAIN.;13141;NULL;NULL;BPM3100;COMP
252;CHECK CONVEYOR BELT AND PULLEYS...;13141;NULL;NULL;BPM3100;COMP
313;INSPECT AND LUBRICATE ROLLER BEARINGS AND WHEELS.;13141;NULL;NULL;BPM3100;COMP
416;OPERATE CONVEYOR TO ENSURE THAT UNIT RUNS...;13141;NULL;NULL;BPM3100;COMP
126;REPLACE COPPER TUBING ON DRAINPAN;13141;NULL;NULL;BPM3100;COMP
75;Repair Damaged Conduit Feeding Generator;11230;NULL;7;BR230;COMP
253;Disconnect power to generator;11230;NULL;NULL;BR230;CLOSE
254;Repair damaged conduit on south side of generator;11230;NULL;NULL;BR230;COMP
27;12 Month Service on Shipping Dept #2 Conveyor;12700;PKG;8;SHIPPING;CLOSE
255;Inspect on/off and limit switches.;12700;NULL;NULL;SHIPPING;CLOSE
369;Replace worn bearings, index plate and bolts.;12700;NULL;NULL;SHIPPING;CLOSE
256;Clean motor.;12700;NULL;NULL;SHIPPING;CLOSE
